,wage,educ,educ_parent,born,state,iq,dist_to_unitown
0,901.67,13,3,1983-06-02,13,120.0,76
1,403.08,10,8,1983-09-09,42,99.0,77
2,352.05,15,14,1975-12-16,48,113.0,100
3,613.71,15,14,1979-08-18,36,96.0,79
4,1446.99,13,4,1983-01-11,36,106.0,83
5,2032.69,19,12,1974-09-21,25,101.0,81
6,552.49,14,8,1974-03-07,13,127.0,90
7,228.69,10,11,1982-12-06,30,57.0,78
8,1345.07,15,6,1977-05-11,51,115.0,87
9,663.08,11,9,1979-12-15,40,91.0,85
10,499.46,12,6,1980-07-19,34,135.0,72
11,598.33,14,5,1979-11-10,54,112.0,73
12,1806.95,20,9,1977-06-11,18,99.0,82
13,123.46,11,10,1983-02-24,48,83.0,74
14,918.28,11,4,1977-12-15,48,108.0,73
15,168.56,10,13,1980-03-18,55,91.0,87
16,1337.79,20,6,1979-08-17,9,133.0,90
17,600.01,17,9,1978-11-11,24,105.0,84
18,124.01,10,10,1983-06-16,48,108.0,92
19,508.74,19,18,1978-09-30,21,83.0,82
20,400.43,7,6,1977-09-08,42,108.0,89
21,148.06,7,11,1976-01-06,37,96.0,81
22,510.21,10,7,1980-05-15,42,88.0,69
23,262.15,14,6,1980-12-10,36,73.0,90
24,207.63,14,6,1981-01-20,18,103.0,69
25,319.46,9,11,1983-03-28,37,115.0,87
26,400.22,7,11,1977-05-06,39,106.0,82
27,334.68,11,9,1978-05-04,51,88.0,77
28,446.55,14,6,1979-08-16,8,95.0,82
29,959.49,14,8,1980-02-03,15,97.0,85
30,596.92,19,18,1983-03-04,39,84.0,77
31,1247.83,11,11,1977-01-03,6,107.0,77
32,459.61,8,13,1976-07-31,21,90.0,84
33,831.64,14,13,1979-12-15,6,84.0,89
34,930.87,15,7,1980-12-27,40,101.0,62
35,350.53,13,7,1982-11-18,37,121.0,84
36,2792.08,20,7,1981-11-12,8,136.0,85
37,300.25,13,12,1977-05-31,51,114.0,78
38,488.6,14,11,1976-10-10,28,87.0,79
39,278.3,10,11,1976-03-11,48,97.0,65
40,178.88,8,10,1981-07-22,26,96.0,70
41,849.83,16,13,1978-04-06,33,123.0,80
42,583.76,10,12,1978-05-10,42,103.0,67
43,386.95,4,14,1979-02-25,39,97.0,67
44,454.65,17,12,1983-10-26,8,74.0,86
45,1058.88,15,17,1977-03-11,34,112.0,87
46,347.91,13,10,1975-05-19,27,100.0,85
47,108.66,11,9,1980-10-16,48,94.0,84
48,1901.35,14,10,1982-04-14,6,77.0,92
49,222.72,14,10,1977-07-22,6,77.0,78
50,812.83,13,12,1976-04-26,17,100.0,69
51,452.09,9,8,1980-05-18,26,89.0,92
52,187.58,12,9,1977-05-25,45,80.0,91
53,382.4,15,15,1979-09-09,37,98.0,83
54,38.45,7,7,1982-10-16,1,86.0,67
55,645.51,16,16,1980-07-28,42,93.0,73
56,340.04,12,7,1974-04-26,6,89.0,80
57,247.69,14,5,1983-03-17,40,112.0,74
58,248.79,12,7,1983-08-13,39,85.0,87
59,769.46,11,14,1980-11-20,39,89.0,66
60,3338.22,22,12,1981-05-28,41,117.0,78
61,394.26,10,16,1980-11-19,24,109.0,81
62,179.28,13,17,1979-09-29,27,112.0,86
63,902.06,19,12,1974-12-21,6,94.0,82
64,4246.98,19,14,1981-11-19,24,102.0,86
65,565.65,12,7,1979-12-19,45,99.0,90
66,387.81,9,13,1979-07-29,26,89.0,71
67,157.57,15,15,1977-10-01,50,100.0,74
68,563.56,14,9,1979-03-01,51,101.0,98
69,480.63,18,13,1978-07-06,37,81.0,85
70,246.78,15,7,1979-03-23,51,90.0,82
71,124.71,8,13,1974-02-20,48,112.0,71
72,1221.48,17,11,1983-01-26,18,102.0,94
73,968.36,17,13,1978-04-10,18,125.0,72
74,658.65,17,15,1983-11-14,17,99.0,87
75,2152.94,21,16,1981-01-05,41,100.0,66
76,979.83,21,14,1978-05-09,23,78.0,88
77,3068.13,14,11,1979-02-13,48,95.0,77
78,479.68,11,8,1981-07-23,36,91.0,78
79,315.62,12,10,1975-07-19,26,86.0,75
80,438.23,10,7,1976-04-18,17,120.0,87
81,409.64,15,4,1976-10-02,24,120.0,70
82,112.09,8,10,1983-07-11,53,94.0,76
83,353.38,13,8,1974-02-14,24,64.0,79
84,116.34,8,4,1974-11-29,27,114.0,78
85,633.36,13,7,1979-09-07,34,91.0,65
86,1092.02,22,9,1974-02-10,51,71.0,77
87,564.93,12,5,1981-04-02,36,81.0,73
88,222.13,9,10,1983-08-31,48,113.0,87
89,749.41,10,8,1978-05-31,48,101.0,79
90,520.88,10,12,1975-06-19,25,90.0,77
91,364.37,7,9,1979-02-15,1,87.0,69
92,171.32,10,4,1976-11-30,48,102.0,79
93,1032.02,12,10,1975-11-24,48,93.0,76
94,584.43,13,14,1983-06-08,4,102.0,83
95,234.07,13,9,1980-10-09,36,80.0,81
96,760.14,10,10,1979-06-20,42,116.0,80
97,154.17,4,11,1976-05-30,34,101.0,83
98,481.61,10,12,1974-03-24,17,106.0,74
